Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
358.00,14091.03,14199.98,13970,14199.97,111.03,1559622.99,14046.49
359.00,14199.97,14207.03,14049.36,14132.67,75.16,1059684.94,14098.64
360.00,14160.67,14180,14080,14163.34,23.49,332093.85,14136.02
361.00,14172.68,14172.93,14070.61,14145.23,26.23,370083.8,14111.79
362.00,14109.98,14208.36,14100,14208.36,30.22,427343.37,14142.78
363.00,14208.36,14294.25,14134.11,14278.72,105.55,1500258.21,14214.12
364.00,14278.72,14294.25,14250,14250.01,37.91,541152.18,14273.46
365.00,14276.99,14276.99,14155.2,14155.2,39.79,566284.06,14230.15
366.00,14226.53,14261.74,14155.41,14204.99,45.9,652084.19,14206.3
367.00,14204.99,14259.38,14181.99,14258.41,12.47,177226.99,14215.72
368.00,14258.24,14286.53,14205.39,14261.55,18.93,269533.14,14240.48
369.00,14261.48,14261.48,14150.01,14210.03,15.97,226879.02,14205.35
370.00,14209.09,14248.3,14168.45,14231.98,9.94,141261.13,14213.87
371.00,14229.92,14249.96,14126.87,14176.89,42.97,609770.4,14189.83
372.00,14188.82,14277.26,14145.02,14259.26,18.82,267670.65,14219.04
373.00,14221.88,14292.27,14200.09,14200.2,26.23,373772.63,14251.2
374.00,14211.01,14244.56,14160.01,14200.06,33.07,469102.51,14184.16
375.00,14162,14199.34,14095,14107.03,66.2,937654.7,14164.56
376.00,14140.99,14180,14077,14085.54,38.11,537728.16,14108.21
377.00,14085.54,14096.43,13986.79,14093.12,152.61,2144389.25,14051.43
378.00,14093.12,14096.44,14047.33,14096.44,76.18,1073253.04,14088.36
